id_usuario,id_producto,rating
1,22,4.82
1,34,4.34
1,29,4.38
1,26,4.98
1,14,3.66
1,11,3.82
1,32,3.77
1,28,4.36
1,4,1.95
1,35,4.28
2,6,3.31
2,8,3.77
2,10,4.65
2,21,1.59
2,5,1.0
2,11,2.5
2,14,3.38
2,1,3.34
3,1,4.25
3,31,3.22
3,7,3.25
3,23,2.92
3,9,2.91
3,20,3.39
3,5,2.9
3,34,2.78
4,12,4.49
4,3,5.0
4,18,5.0
4,2,4.74
4,34,2.98
4,17,4.95
4,5,4.72
4,1,4.7
4,16,5.0
4,15,5.0
5,33,4.22
5,24,5.0
5,13,2.98
5,29,4.0
5,30,3.75
5,25,5.0
5,21,5.0
5,5,2.09
5,12,3.82
6,32,2.67
6,23,1.0
6,16,1.0
6,28,2.44
6,4,3.91
6,30,3.42
6,12,1.13
6,21,1.0
7,6,3.77
7,4,3.32
7,10,3.79
7,33,3.02
7,9,3.34
7,19,4.55
7,24,3.88
7,34,2.99
8,34,2.81
8,6,4.65
8,15,5.0
8,17,4.75
8,5,4.86
8,16,5.0
8,8,4.37
8,14,3.81
9,27,4.52
9,15,4.36
9,28,4.63
9,22,5.0
9,34,4.83
9,14,3.52
9,21,5.0
9,13,2.6
9,33,4.5
9,17,3.92
10,30,2.88
10,29,1.69
10,21,1.48
10,17,2.87
10,2,4.92
10,4,3.7
10,15,3.16
10,1,3.36
11,9,2.92
11,26,4.82
11,23,3.26
11,28,4.1
11,21,3.86
11,3,3.64
11,10,3.82
11,8,3.29
11,7,3.49
11,35,2.76
12,1,5.0
12,14,3.99
12,4,4.12
12,30,2.89
12,31,2.71
12,29,3.35
12,8,4.19
12,9,5.0
12,33,2.6
12,19,4.28
13,27,4.54
13,35,4.28
13,14,3.66
13,25,5.0
13,33,4.42
13,29,4.86
13,28,4.5
13,21,5.0
13,20,5.0
13,31,5.0
14,7,2.44
14,8,3.58
14,2,4.82
14,14,3.16
14,1,3.52
14,10,5.0
14,12,1.23
14,6,3.74
15,3,2.64
15,2,3.6
15,20,3.5
15,23,3.45
15,25,4.02
15,34,2.7
15,19,4.52
15,9,2.6
15,27,4.44
15,7,3.94
16,15,4.8
16,6,4.61
16,31,2.69
16,16,4.77
16,12,4.69
16,14,3.39
16,9,5.0
16,8,4.44
16,18,4.99
17,22,4.89
17,27,4.52
17,11,4.46
17,24,5.0
17,32,3.73
17,28,4.82
17,14,3.45
17,12,4.55
18,13,1.0
18,33,2.45
18,8,3.9
18,34,2.68
18,31,2.48
18,4,3.91
18,2,5.0
18,3,1.0
19,30,3.32
19,25,3.65
19,27,4.74
19,8,3.59
19,5,3.19
19,26,4.87
19,35,3.21
19,12,2.74
20,3,5.0
20,26,2.17
20,11,4.52
20,18,5.0
20,7,5.0
20,24,2.72
20,9,5.0
20,1,4.7
21,28,4.42
21,30,4.0
21,31,5.0
21,12,4.36
21,24,5.0
21,11,4.35
21,25,5.0
21,22,5.0
22,2,4.72
22,35,2.8
22,8,3.51
22,23,1.0
22,33,2.72
22,19,4.19
22,3,1.0
22,20,1.0
22,13,1.0
22,9,1.0
23,29,3.48
23,6,3.78
23,34,2.89
23,1,4.66
23,2,4.1
23,30,3.45
23,20,3.5
23,35,3.24
23,21,3.36
23,32,3.2
24,4,4.02
24,10,4.59
24,8,4.64
24,13,5.0
24,2,4.69
24,33,2.87
24,34,3.28
24,16,4.97
25,32,3.8
25,11,4.15
25,7,1.16
25,22,4.95
25,31,4.89
25,35,4.36
25,14,3.33
25,26,5.0
25,30,3.83
25,23,5.0
26,5,1.0
26,18,4.29
26,16,1.0
26,8,3.72
26,3,1.0
26,12,1.13
26,20,1.35
26,13,1.0
27,6,4.09
27,4,3.45
27,1,3.77
27,10,3.79
27,21,3.82
27,12,2.53
27,17,1.98
27,31,2.98
27,19,4.27
27,28,3.97
28,2,4.37
28,3,5.0
28,4,4.47
28,14,3.94
28,8,4.36
28,24,1.9
28,10,4.99
28,17,5.0
28,6,4.33
28,1,5.0
29,33,3.82
29,34,4.54
29,11,4.71
29,20,5.0
29,31,5.0
29,30,3.88
29,15,4.87
29,16,3.84
29,22,4.9
29,24,5.0
30,12,1.2
30,5,1.0
30,6,3.62
30,8,3.46
30,1,3.98
30,7,2.53
30,3,1.0
30,30,3.05
30,19,3.78
30,20,1.0
31,23,3.17
31,21,3.51
31,10,3.81
31,35,2.79
31,22,3.93
31,7,3.49
31,3,2.9
31,5,3.01
31,6,3.54
32,4,4.69
32,15,4.77
32,29,2.61
32,12,4.59
32,13,4.9
32,6,4.12
32,17,5.0
32,7,5.0
33,24,5.0
33,25,5.0
33,11,4.66
33,21,4.68
33,14,3.4
33,35,4.34
33,31,4.95
33,17,3.69
33,28,4.35
34,32,2.94
34,4,4.26
34,2,4.25
34,19,4.09
34,14,3.31
34,26,2.74
34,3,1.0
34,22,1.11
34,5,1.0
34,7,1.84
35,9,2.76
35,26,4.74
35,19,4.38
35,7,3.4
35,31,3.13
35,12,2.85
35,20,3.77
35,22,3.88
35,3,2.84
