id_usuario,perfil
1,Hogar_Familiar
2,Estudiante_Ahorrador
3,Fitness_EstilodeVida
4,Tecnologico_Gamer
5,Hogar_Familiar
6,Estudiante_Ahorrador
7,Fitness_EstilodeVida
8,Tecnologico_Gamer
9,Hogar_Familiar
10,Estudiante_Ahorrador
11,Fitness_EstilodeVida
12,Tecnologico_Gamer
13,Hogar_Familiar
14,Estudiante_Ahorrador
15,Fitness_EstilodeVida
16,Tecnologico_Gamer
17,Hogar_Familiar
18,Estudiante_Ahorrador
19,Fitness_EstilodeVida
20,Tecnologico_Gamer
21,Hogar_Familiar
22,Estudiante_Ahorrador
23,Fitness_EstilodeVida
24,Tecnologico_Gamer
25,Hogar_Familiar
26,Estudiante_Ahorrador
27,Fitness_EstilodeVida
28,Tecnologico_Gamer
29,Hogar_Familiar
30,Estudiante_Ahorrador
31,Fitness_EstilodeVida
32,Tecnologico_Gamer
33,Hogar_Familiar
34,Estudiante_Ahorrador
35,Fitness_EstilodeVida
